,Site_ID,Name,State,City,ARP_Latitude,ARP_Longitude,NPIAS_Category,CH_Latitude,CH_Longitude,Distance
478194,02517.*A,Aspen-Pitkin County/Sardy Fld,Colorado,Aspen,39.22188888888889,-106.86822222222222,Non-Hub,39.225683,-106.865041,0.3127717927357764
481381,02573.*A,Denver Intl,Colorado,Denver,39.861666666666665,-104.67316666666667,Large,39.8561004,-104.6759263,0.4117348724563469
481382,02573.*A,Denver Intl,Colorado,Denver,39.861666666666665,-104.67316666666667,Large,39.84925705248455,-104.674,0.8590467098834581
482230,02588.*A,Eagle County Rgnl,Colorado,Eagle,39.64275,-106.91594444444445,Non-Hub,39.63993,-106.911981,0.2872743049564264
482231,02588.*A,Eagle County Rgnl,Colorado,Eagle,39.64275,-106.91594444444445,Non-Hub,39.639915,-106.912075,0.28433301050290977
482430,02596.131*A,Erie Muni,Colorado,Erie,40.01025,-105.04808333333334,Reliever,40.00078,-105.03642,0.9000393249460479
483292,02623.*A,Granby-Grand County,Colorado,Granby,40.09005555555556,-105.9166388888889,Reliever,40.08448823321663,-105.9283874123726,0.7309302704082961
484414,02631.*A,Gunnison-Crested Butte Rgnl,Colorado,Gunnison,38.53433333333333,-106.93175000000001,Non-Hub,38.544802,-106.932525,0.7249373162288891
493451,02765.*A,Yuma Muni,Colorado,Yuma,40.10571111111111,-102.71443888888889,Reliever,40.119917,-102.716079,0.9859093132902653
493897,02802.*A,Danbury Muni,Connecticut,Danbury,41.37152777777778,-73.48219444444445,Reliever,41.3794,-73.478,0.5861137108786977
493915,02802.*A,Danbury Muni,Connecticut,Danbury,41.37152777777778,-73.48219444444445,Reliever,41.380158,-73.47904,0.6186632762230815
494150,02827.*A,Hartford-Brainard,Connecticut,Hartford,41.73672222222223,-72.64944444444446,Reliever,41.736894,-72.660257,0.5579180591541141
494168,02827.*A,Hartford-Brainard,Connecticut,Hartford,41.73672222222223,-72.64944444444446,Reliever,41.741747,-72.659203,0.6116214076602179
494192,02827.*A,Hartford-Brainard,Connecticut,Hartford,41.73672222222223,-72.64944444444446,Reliever,41.741747,-72.659203,0.6116214076602179
494193,02827.*A,Hartford-Brainard,Connecticut,Hartford,41.73672222222223,-72.64944444444446,Reliever,41.740108,-72.656123,0.4165117074252219
495909,03474.*A,Albert Whitted,Florida,St Petersburg,27.765113888888887,-82.62697499999999,Reliever,27.765362,-82.63633,0.5725288914727562
495976,03474.*A,Albert Whitted,Florida,St Petersburg,27.765113888888887,-82.62697499999999,Reliever,27.77332,-82.63275,0.6683054538857277
496056,03474.*A,Albert Whitted,Florida,St Petersburg,27.765113888888887,-82.62697499999999,Reliever,27.765381,-82.636368,0.5748930621070947
496061,03474.*A,Albert Whitted,Florida,St Petersburg,27.765113888888887,-82.62697499999999,Reliever,27.773355,-82.626315,0.5711572124197767
496062,03474.*A,Albert Whitted,Florida,St Petersburg,27.765113888888887,-82.62697499999999,Reliever,27.773355,-82.626261,0.5714002020898333
497504,03531.*A,Arthur Dunn Air Park,Florida,Titusville,28.622552777777777,-80.83540833333333,Reliever,28.61589,-80.826818,0.6956531241436901
502501,03112.*A,Clearwater Air Park,Florida,Clearwater,27.977213888888887,-82.75905555555556,Reliever,27.975649,-82.75459,0.2933186115416762
504112,03135.*A,Crystal River-Capt Tom Davis Fld,Florida,Crystal River,28.867611111111113,-82.57411111111111,Reliever,28.874954,-82.579351,0.5985984321613015
504113,03135.*A,Crystal River-Capt Tom Davis Fld,Florida,Crystal River,28.867611111111113,-82.57411111111111,Reliever,28.874924,-82.579351,0.5968406660578699
507637,03408.*A,Exec,Florida,Orlando,28.545461111111113,-81.33293055555555,Reliever,28.55433,-81.334677,0.6222330906697585
509236,03423.3*A,Flagler Exec,Florida,Palm Coast,29.465149999999998,-81.20765,Reliever,29.476633,-81.206325,0.7978439843535406
514450,03251.*A,Jacksonville Exec At Craig,Florida,Jacksonville,30.336333333333332,-81.51444444444445,Reliever,30.324831,-81.508358,0.8741954884420579
